Date,Open,High,Low,Close,Volume,Trades,Value
2000-02-22,1.46,NA,NA,1.46,NA,NA,NA
2000-02-23,1.46,NA,NA,1.46,NA,NA,NA
2000-02-24,1.46,NA,NA,1.46,NA,NA,NA
2000-02-25,1.46,NA,NA,1.46,NA,NA,NA
2000-02-28,1.46,NA,NA,1.46,NA,NA,NA
2000-02-29,1.46,NA,NA,1.46,NA,NA,NA
2000-03-01,1.46,NA,NA,1.46,NA,NA,NA
2000-03-02,1.46,NA,NA,1.46,NA,NA,NA
2000-03-03,1.46,NA,NA,1.46,NA,NA,NA
2000-03-06,1.46,NA,NA,1.46,NA,NA,NA
2000-03-07,1.46,NA,NA,1.46,NA,NA,NA
2000-03-08,1.46,NA,NA,1.46,NA,NA,NA
2000-03-09,1.46,NA,NA,1.46,NA,NA,NA
2000-03-10,1.46,NA,NA,1.46,NA,NA,NA
2000-03-13,1.46,NA,NA,1.46,NA,NA,NA
2000-03-14,1.46,NA,NA,1.46,NA,NA,NA
2000-03-17,1.46,NA,NA,1.46,NA,NA,NA
2000-03-20,1.46,NA,NA,1.46,NA,NA,NA
2000-03-21,1.46,NA,NA,1.46,NA,NA,NA
2000-03-22,1.46,NA,NA,1.46,NA,NA,NA
2000-03-23,1.46,NA,NA,1.46,NA,NA,NA
2000-03-24,1.46,NA,NA,1.46,NA,NA,NA
2000-03-27,1.46,NA,NA,1.46,NA,NA,NA
2000-03-28,1.46,NA,NA,1.46,NA,NA,NA
2000-03-29,1.46,NA,NA,1.46,NA,NA,NA
2000-03-30,1.46,NA,NA,1.46,NA,NA,NA
2000-03-31,1.46,NA,NA,1.46,NA,NA,NA
2000-04-03,1.46,NA,NA,1.46,NA,NA,NA
2000-04-04,1.46,NA,NA,1.46,NA,NA,NA
2000-04-05,1.46,NA,NA,1.46,NA,NA,NA
2000-04-06,1.46,NA,NA,1.46,NA,NA,NA
2000-04-07,1.46,NA,NA,1.46,NA,NA,NA
2000-04-10,1.46,NA,NA,1.46,NA,NA,NA
2000-04-11,1.46,NA,NA,1.46,NA,NA,NA
2000-04-12,1.46,NA,NA,1.46,NA,NA,NA
2000-04-13,1.46,NA,NA,1.46,NA,NA,NA
2000-04-14,1.46,NA,NA,1.46,NA,NA,NA
2000-04-17,1.46,NA,NA,1.46,NA,NA,NA
2000-04-18,1.46,NA,NA,1.46,NA,NA,NA
2000-04-19,1.46,NA,NA,1.46,NA,NA,NA
2000-04-20,1.46,NA,NA,1.46,NA,NA,NA
2000-04-25,1.46,NA,NA,1.46,NA,NA,NA
2000-04-26,1.46,NA,NA,1.46,NA,NA,NA
2000-04-27,1.46,NA,NA,1.46,NA,NA,NA
2000-04-28,1.46,NA,NA,1.46,NA,NA,NA
2000-05-02,1.46,NA,NA,1.46,NA,NA,NA
2000-05-03,1.46,NA,NA,1.46,NA,NA,NA
2000-05-04,1.46,NA,NA,1.46,NA,NA,NA
2000-05-05,1.46,NA,NA,1.46,NA,NA,NA
2000-05-08,1.46,NA,NA,1.46,NA,NA,NA
2000-05-09,1.46,NA,NA,1.46,NA,NA,NA
2000-05-10,1.46,NA,NA,1.46,NA,NA,NA
2000-05-11,1.46,NA,NA,1.46,NA,NA,NA
2000-05-12,1.46,NA,NA,1.46,NA,NA,NA
2000-05-15,1.46,NA,NA,1.46,NA,NA,NA
2000-05-16,1.46,NA,NA,1.46,NA,NA,NA
2000-05-17,1.46,NA,NA,1.46,NA,NA,NA
2000-05-18,1.46,NA,NA,1.46,NA,NA,NA
2000-05-19,1.46,NA,NA,1.46,NA,NA,NA
2000-05-22,1.46,NA,NA,1.46,NA,NA,NA
2000-05-23,1.46,NA,NA,1.46,NA,NA,NA
2000-05-24,1.46,NA,NA,1.46,NA,NA,NA
2000-05-25,1.46,NA,NA,1.46,NA,NA,NA
2000-05-26,1.46,NA,NA,1.46,NA,NA,NA
2000-05-30,1.46,NA,NA,1.46,NA,NA,NA
2000-05-31,1.46,NA,NA,1.46,NA,NA,NA
2000-06-01,1.46,NA,NA,1.46,NA,NA,NA
2000-06-02,1.46,NA,NA,1.46,NA,NA,NA
2000-06-05,1.46,NA,NA,1.46,NA,NA,NA
2000-06-06,1.46,NA,NA,1.46,NA,NA,NA
2000-06-07,1.46,NA,NA,1.46,NA,NA,NA
2000-06-08,1.46,NA,NA,1.46,NA,NA,NA
2000-06-09,1.46,NA,NA,1.46,NA,NA,NA
2000-06-12,1.46,NA,NA,1.46,NA,NA,NA
2000-06-13,1.46,NA,NA,1.46,NA,NA,NA
2000-06-15,1.46,NA,NA,1.46,NA,NA,NA
2000-06-16,1.46,NA,NA,1.46,NA,NA,NA
2000-06-19,1.46,NA,NA,1.46,NA,NA,NA
2000-06-20,1.46,NA,NA,1.46,NA,NA,NA
2000-06-21,1.46,NA,NA,1.46,NA,NA,NA
2000-06-22,1.46,NA,NA,1.46,NA,NA,NA
2000-06-23,1.46,NA,NA,1.46,NA,NA,NA
2000-06-26,1.46,NA,NA,1.46,NA,NA,NA
2000-06-27,1.46,NA,NA,1.46,NA,NA,NA
2000-06-28,1.46,NA,NA,1.46,NA,NA,NA
2000-06-29,1.46,NA,NA,1.46,NA,NA,NA
2000-06-30,1.46,NA,NA,1.46,NA,NA,NA
2000-07-03,1.46,NA,NA,1.46,NA,NA,NA
2000-07-04,1.46,NA,NA,1.46,NA,NA,NA
2000-07-05,1.46,NA,NA,1.46,NA,NA,NA
2000-07-06,1.46,NA,NA,1.46,NA,NA,NA
2000-07-07,1.46,NA,NA,1.46,NA,NA,NA
2000-07-10,1.46,NA,NA,1.46,NA,NA,NA
2000-07-11,1.46,NA,NA,1.46,NA,NA,NA
2000-07-12,1.46,NA,NA,1.46,NA,NA,NA
2000-07-13,1.46,NA,NA,1.46,NA,NA,NA
2000-07-14,1.46,NA,NA,1.46,NA,NA,NA
2000-07-17,1.46,NA,NA,1.46,NA,NA,NA
2000-07-18,1.46,NA,NA,1.46,NA,NA,NA
2000-07-19,1.46,NA,NA,1.46,NA,NA,NA
2000-07-20,1.46,NA,NA,1.46,NA,NA,NA
2000-07-21,1.46,NA,NA,1.46,NA,NA,NA
2000-07-24,1.46,NA,NA,1.46,NA,NA,NA
2000-07-25,1.46,NA,NA,1.46,NA,NA,NA
2000-07-26,1.46,NA,NA,1.46,NA,NA,NA
2000-07-27,1.46,NA,NA,1.46,NA,NA,NA
2000-07-28,1.46,NA,NA,1.46,NA,NA,NA
2000-07-31,1.46,NA,NA,1.46,NA,NA,NA
2000-08-01,1.46,NA,NA,1.46,NA,NA,NA
2000-08-02,1.46,NA,NA,1.46,NA,NA,NA
2000-08-03,1.46,NA,NA,1.46,NA,NA,NA
2000-08-04,1.46,NA,NA,1.46,NA,NA,NA
2000-08-07,1.46,NA,NA,1.46,NA,NA,NA
2000-08-08,1.46,NA,NA,1.46,NA,NA,NA
2000-08-09,1.46,NA,NA,1.46,NA,NA,NA
2000-08-10,1.46,NA,NA,1.46,NA,NA,NA
2000-08-11,1.46,NA,NA,1.46,NA,NA,NA
2000-08-14,1.46,NA,NA,1.46,NA,NA,NA
2000-08-15,1.46,NA,NA,1.46,NA,NA,NA
2000-08-16,1.46,NA,NA,1.46,NA,NA,NA
2000-08-17,1.46,NA,NA,1.46,NA,NA,NA
2000-08-18,1.46,NA,NA,1.46,NA,NA,NA
2000-08-21,1.46,NA,NA,1.46,NA,NA,NA
2000-08-22,1.46,NA,NA,1.46,NA,NA,NA
2000-08-23,1.46,NA,NA,1.46,NA,NA,NA
2000-08-24,1.46,NA,NA,1.46,NA,NA,NA
2000-08-25,1.46,NA,NA,1.46,NA,NA,NA
2000-08-28,1.46,NA,NA,1.46,NA,NA,NA
2000-08-29,1.46,NA,NA,1.39,NA,NA,NA
2000-08-30,1.39,NA,NA,1.39,NA,NA,NA
2000-08-31,1.39,NA,NA,1.39,NA,NA,NA
2000-09-01,1.39,NA,NA,1.39,NA,NA,NA
2000-09-04,1.39,NA,NA,1.39,NA,NA,NA
2000-09-05,1.39,NA,NA,1.39,NA,NA,NA
2000-09-06,1.39,NA,NA,1.38,NA,NA,NA
2000-09-07,1.38,NA,NA,1.38,NA,NA,NA
2000-09-08,1.38,NA,NA,1.38,NA,NA,NA
2000-09-11,1.38,NA,NA,1.38,NA,NA,NA
2000-09-12,1.38,NA,NA,1.38,NA,NA,NA
2000-09-13,1.38,NA,NA,1.38,NA,NA,NA
2000-09-14,1.38,NA,NA,1.38,NA,NA,NA
2000-09-15,1.38,NA,NA,1.38,NA,NA,NA
2000-09-18,1.38,NA,NA,1.38,NA,NA,NA
2000-09-19,1.38,NA,NA,1.38,NA,NA,NA
2000-09-20,1.38,NA,NA,1.33,NA,NA,NA
2000-09-21,1.33,NA,NA,1.33,NA,NA,NA
2000-09-22,1.33,NA,NA,1.33,NA,NA,NA
2000-09-25,1.33,NA,NA,1.33,NA,NA,NA
2000-09-26,1.33,NA,NA,1.33,NA,NA,NA
2000-09-27,1.33,NA,NA,1.33,NA,NA,NA
2000-09-28,1.33,NA,NA,1.33,NA,NA,NA
2000-09-29,1.33,NA,NA,1.33,NA,NA,NA
2000-10-02,1.33,NA,NA,1.33,NA,NA,NA
2000-10-03,1.33,NA,NA,1.33,NA,NA,NA
2000-10-04,1.33,NA,NA,1.33,NA,NA,NA
2000-10-05,1.33,NA,NA,1.33,NA,NA,NA
2000-10-06,1.33,NA,NA,1.33,NA,NA,NA
2000-10-09,1.33,NA,NA,1.33,NA,NA,NA
2000-10-10,1.33,NA,NA,1.33,NA,NA,NA
2000-10-11,1.33,NA,NA,1.33,NA,NA,NA
2000-10-12,1.33,NA,NA,1.33,NA,NA,NA
2000-10-13,1.33,NA,NA,1.33,NA,NA,NA
2000-10-16,1.33,NA,NA,1.33,NA,NA,NA
2000-10-17,1.33,NA,NA,1.33,NA,NA,NA
2000-10-18,1.33,NA,NA,1.31,NA,NA,NA
2000-10-19,1.31,NA,NA,1.31,NA,NA,NA
2000-10-20,1.31,NA,NA,1.31,NA,NA,NA
2000-10-23,1.31,NA,NA,1.31,NA,NA,NA
2000-10-24,1.31,NA,NA,1.31,NA,NA,NA
2000-10-25,1.31,NA,NA,1.31,NA,NA,NA
2000-10-26,1.31,NA,NA,1.31,NA,NA,NA
2000-10-27,1.31,NA,NA,1.31,NA,NA,NA
2000-10-30,1.31,NA,NA,1.31,NA,NA,NA
2000-10-31,1.31,NA,NA,1.31,NA,NA,NA
2000-11-01,1.31,NA,NA,1.31,NA,NA,NA
2000-11-02,1.31,NA,NA,1.31,NA,NA,NA
2000-11-03,1.31,NA,NA,1.31,NA,NA,NA
2000-11-06,1.31,NA,NA,1.31,NA,NA,NA
2000-11-07,1.31,NA,NA,1.31,NA,NA,NA
2000-11-08,1.31,NA,NA,1.31,NA,NA,NA
2000-11-09,1.31,NA,NA,1.31,NA,NA,NA
2000-11-10,1.31,NA,NA,1.30,NA,NA,NA
2000-11-13,1.30,NA,NA,1.31,NA,NA,NA
2000-11-14,1.31,NA,NA,1.30,NA,NA,NA
2000-11-15,1.30,NA,NA,1.31,NA,NA,NA
2000-11-16,1.31,NA,NA,1.31,NA,NA,NA
2000-11-17,1.31,NA,NA,1.31,NA,NA,NA
2000-11-20,1.31,NA,NA,1.31,NA,NA,NA
2000-11-21,1.31,NA,NA,1.30,NA,NA,NA
2000-11-22,1.30,NA,NA,1.30,NA,NA,NA
2000-11-23,1.30,NA,NA,1.30,NA,NA,NA
2000-11-24,1.30,NA,NA,1.30,NA,NA,NA
2000-11-27,1.30,NA,NA,1.30,NA,NA,NA
2000-11-28,1.30,NA,NA,1.30,NA,NA,NA
2000-11-29,1.30,NA,NA,1.30,NA,NA,NA
2000-11-30,1.30,NA,NA,1.30,NA,NA,NA
2000-12-01,1.30,NA,NA,1.30,NA,NA,NA
2000-12-04,1.30,NA,NA,1.30,NA,NA,NA
2000-12-05,1.30,NA,NA,1.30,NA,NA,NA
2000-12-06,1.30,NA,NA,1.30,NA,NA,NA
2000-12-07,1.30,NA,NA,1.30,NA,NA,NA
2000-12-08,1.30,NA,NA,1.30,NA,NA,NA
2000-12-11,1.30,NA,NA,1.25,NA,NA,NA
2000-12-12,1.25,NA,NA,1.25,NA,NA,NA
2000-12-13,1.25,NA,NA,1.25,NA,NA,NA
2000-12-14,1.25,NA,NA,1.25,NA,NA,NA
2000-12-15,1.25,NA,NA,1.25,NA,NA,NA
2000-12-18,1.25,NA,NA,1.25,NA,NA,NA
2000-12-19,1.25,NA,NA,1.25,NA,NA,NA
2000-12-20,1.25,NA,NA,1.25,NA,NA,NA
2000-12-21,1.25,NA,NA,1.25,NA,NA,NA
2000-12-22,1.25,NA,NA,1.25,NA,NA,NA
2000-12-27,1.25,NA,NA,1.25,NA,NA,NA
2000-12-28,1.25,NA,NA,1.25,NA,NA,NA
2000-12-29,1.25,NA,NA,1.25,NA,NA,NA
2001-01-03,1.25,NA,NA,1.25,NA,NA,NA
2001-01-04,1.25,NA,NA,1.25,NA,NA,NA
2001-01-05,1.25,NA,NA,1.25,NA,NA,NA
2001-01-08,1.25,NA,NA,1.25,NA,NA,NA
2001-01-09,1.25,NA,NA,1.25,NA,NA,NA
2001-01-10,1.25,NA,NA,1.25,NA,NA,NA
2001-01-11,1.25,NA,NA,1.25,NA,NA,NA
2001-01-12,1.25,NA,NA,1.25,NA,NA,NA
2001-01-15,1.25,NA,NA,1.25,NA,NA,NA
2001-01-16,1.25,NA,NA,1.25,NA,NA,NA
2001-01-17,1.25,NA,NA,1.25,NA,NA,NA
2001-01-18,1.25,NA,NA,1.25,NA,NA,NA
2001-01-19,1.25,NA,NA,1.25,NA,NA,NA
2001-01-22,1.25,NA,NA,1.25,NA,NA,NA
2001-01-23,1.25,NA,NA,1.25,NA,NA,NA
2001-01-24,1.25,NA,NA,1.25,NA,NA,NA
2001-01-25,1.25,NA,NA,1.25,NA,NA,NA
2001-01-26,1.25,NA,NA,1.25,NA,NA,NA
2001-01-29,1.25,NA,NA,1.25,NA,NA,NA
2001-01-30,1.25,NA,NA,1.25,NA,NA,NA
2001-01-31,1.25,NA,NA,1.25,NA,NA,NA
2001-02-01,1.25,NA,NA,1.25,NA,NA,NA
2001-02-02,1.25,NA,NA,1.25,NA,NA,NA
2001-02-05,1.25,NA,NA,1.25,NA,NA,NA
2001-02-06,1.25,NA,NA,1.25,NA,NA,NA
2001-02-07,1.25,NA,NA,1.25,NA,NA,NA
2001-02-08,1.25,NA,NA,1.25,NA,NA,NA
2001-02-09,1.25,NA,NA,1.25,NA,NA,NA
2001-02-12,1.25,NA,NA,1.25,NA,NA,NA
2001-02-13,1.25,NA,NA,1.25,NA,NA,NA
2001-02-14,1.25,NA,NA,1.25,NA,NA,NA
2001-02-15,1.25,NA,NA,1.25,NA,NA,NA
2001-02-16,1.25,NA,NA,1.25,NA,NA,NA
2001-02-19,1.25,NA,NA,1.25,NA,NA,NA
2001-02-20,1.25,NA,NA,1.25,NA,NA,NA
2001-02-21,1.25,NA,NA,1.25,NA,NA,NA
2001-02-22,1.25,NA,NA,1.25,NA,NA,NA
2001-02-23,1.25,NA,NA,1.25,NA,NA,NA
2001-02-26,1.25,NA,NA,1.24,NA,NA,NA
2001-02-27,1.24,NA,NA,1.23,NA,NA,NA
2001-02-28,1.23,NA,NA,1.23,NA,NA,NA
2001-03-01,1.23,NA,NA,1.23,NA,NA,NA
2001-03-02,1.23,NA,NA,1.23,NA,NA,NA
2001-03-06,1.23,NA,NA,1.23,NA,NA,NA
2001-03-07,1.23,NA,NA,1.23,NA,NA,NA
2001-03-08,1.23,NA,NA,1.23,NA,NA,NA
2001-03-09,1.23,NA,NA,1.23,NA,NA,NA
2001-03-12,1.23,NA,NA,1.23,NA,NA,NA
2001-03-13,1.23,NA,NA,1.23,NA,NA,NA
2001-03-14,1.23,NA,NA,1.23,NA,NA,NA
2001-03-15,1.23,NA,NA,1.23,NA,NA,NA
2001-03-16,1.23,NA,NA,1.23,NA,NA,NA
2001-03-19,1.23,NA,NA,1.23,NA,NA,NA
2001-03-20,1.23,NA,NA,1.23,NA,NA,NA
2001-03-21,1.23,NA,NA,1.23,NA,NA,NA
2001-03-22,1.23,NA,NA,1.23,NA,NA,NA
2001-03-23,1.23,NA,NA,1.23,NA,NA,NA
2001-03-26,1.23,NA,NA,1.23,NA,NA,NA
2001-03-27,1.23,NA,NA,1.23,NA,NA,NA
2001-03-28,1.23,NA,NA,1.23,NA,NA,NA
2001-03-29,1.23,NA,NA,1.23,NA,NA,NA
2001-03-30,1.23,NA,NA,1.23,NA,NA,NA
2001-04-02,1.23,NA,NA,1.23,NA,NA,NA
2001-04-03,1.23,NA,NA,1.23,NA,NA,NA
2001-04-04,1.23,NA,NA,1.23,NA,NA,NA
2001-04-05,1.23,NA,NA,1.23,NA,NA,NA
2001-04-06,1.23,NA,NA,1.23,NA,NA,NA
2001-04-09,1.23,NA,NA,1.23,NA,NA,NA
2001-04-10,1.23,NA,NA,1.23,NA,NA,NA
2001-04-11,1.23,NA,NA,1.23,NA,NA,NA
2001-04-12,1.23,NA,NA,1.23,NA,NA,NA
2001-04-17,1.23,NA,NA,1.23,NA,NA,NA
2001-04-18,1.23,NA,NA,1.23,NA,NA,NA
2001-04-19,1.23,NA,NA,1.23,NA,NA,NA
2001-04-20,1.23,NA,NA,1.23,NA,NA,NA
2001-04-23,1.23,NA,NA,1.23,NA,NA,NA
2001-04-24,1.23,NA,NA,1.23,NA,NA,NA
2001-04-25,1.23,NA,NA,1.23,NA,NA,NA
2001-04-26,1.23,NA,NA,1.23,NA,NA,NA
2001-04-27,1.23,NA,NA,1.23,NA,NA,NA
2001-04-30,1.23,NA,NA,1.23,NA,NA,NA
2001-05-02,1.23,NA,NA,1.23,NA,NA,NA
2001-05-03,1.23,NA,NA,1.23,NA,NA,NA
2001-05-04,1.23,NA,NA,1.23,NA,NA,NA
2001-05-07,1.23,NA,NA,1.23,NA,NA,NA
2001-05-08,1.23,NA,NA,1.23,NA,NA,NA
2001-05-09,1.23,NA,NA,1.23,NA,NA,NA
2001-05-10,1.23,NA,NA,1.23,NA,NA,NA
2001-05-11,1.23,NA,NA,1.23,NA,NA,NA
2001-05-14,1.23,NA,NA,1.23,NA,NA,NA
2001-05-15,1.23,NA,NA,1.23,NA,NA,NA
2001-05-16,1.23,NA,NA,1.23,NA,NA,NA
2001-05-17,1.23,NA,NA,1.23,NA,NA,NA
2001-05-18,1.23,NA,NA,1.23,NA,NA,NA
2001-05-21,1.23,NA,NA,1.23,NA,NA,NA
2001-05-22,1.23,NA,NA,1.23,NA,NA,NA
2001-05-23,1.23,NA,NA,1.23,NA,NA,NA
2001-05-24,1.23,NA,NA,1.23,NA,NA,NA
2001-05-25,1.23,NA,NA,1.23,NA,NA,NA
2001-05-28,1.23,NA,NA,1.23,NA,NA,NA
2001-05-30,1.23,NA,NA,1.23,NA,NA,NA
2001-05-31,1.23,NA,NA,1.23,NA,NA,NA
2001-06-01,1.23,NA,NA,1.23,NA,NA,NA
2001-06-05,1.23,NA,NA,1.23,NA,NA,NA
2001-06-06,1.23,NA,NA,1.23,NA,NA,NA
2001-06-07,1.23,NA,NA,1.23,NA,NA,NA
2001-06-08,1.23,NA,NA,1.23,NA,NA,NA
2001-06-11,1.23,NA,NA,1.23,NA,NA,NA
2001-06-12,1.23,NA,NA,1.23,NA,NA,NA
2001-06-13,1.23,NA,NA,1.23,NA,NA,NA
2001-06-14,1.23,NA,NA,1.23,NA,NA,NA
2001-06-15,1.23,NA,NA,1.23,NA,NA,NA
2001-06-18,1.23,NA,NA,1.23,NA,NA,NA
2001-06-19,1.23,NA,NA,1.23,NA,NA,NA
2001-06-20,1.23,NA,NA,1.23,NA,NA,NA
2001-06-21,1.23,NA,NA,1.23,NA,NA,NA
2001-06-22,1.23,NA,NA,1.23,NA,NA,NA
2001-06-25,1.23,NA,NA,1.23,NA,NA,NA
2001-06-26,1.23,NA,NA,1.23,NA,NA,NA
2001-06-27,1.23,NA,NA,1.23,NA,NA,NA
2001-06-28,1.23,NA,NA,1.23,NA,NA,NA
2001-06-29,1.23,NA,NA,1.19,NA,NA,NA
2001-07-02,1.19,NA,NA,1.19,NA,NA,NA
2001-07-03,1.19,NA,NA,1.19,NA,NA,NA
2001-07-04,1.19,NA,NA,1.19,NA,NA,NA
2001-07-05,1.19,NA,NA,1.14,NA,NA,NA
2001-07-06,1.14,NA,NA,1.14,NA,NA,NA
2001-07-09,1.14,NA,NA,1.14,NA,NA,NA
2001-07-10,1.14,NA,NA,1.14,NA,NA,NA
2001-07-11,1.14,NA,NA,1.14,NA,NA,NA
2001-07-12,1.14,NA,NA,1.12,NA,NA,NA
2001-07-13,1.12,NA,NA,1.12,NA,NA,NA
2001-07-16,1.12,NA,NA,1.12,NA,NA,NA
2001-07-17,1.12,NA,NA,1.12,NA,NA,NA
2001-07-18,1.12,NA,NA,1.12,NA,NA,NA
2001-07-19,1.12,NA,NA,1.07,NA,NA,NA
2001-07-20,1.07,NA,NA,1.07,NA,NA,NA
2001-07-23,1.07,NA,NA,1.07,NA,NA,NA
2001-07-24,1.07,NA,NA,1.07,NA,NA,NA
2001-07-25,1.07,NA,NA,1.07,NA,NA,NA
2001-07-26,1.07,NA,NA,1.00,NA,NA,NA
2001-07-27,1.00,NA,NA,1.00,NA,NA,NA
2001-07-30,1.00,NA,NA,1.00,NA,NA,NA
2001-07-31,1.00,NA,NA,1.00,NA,NA,NA
2001-08-01,1.00,NA,NA,1.00,NA,NA,NA
2001-08-02,1.00,NA,NA,1.00,NA,NA,NA
2001-08-03,1.00,NA,NA,1.00,NA,NA,NA
2001-08-06,1.00,NA,NA,1.00,NA,NA,NA
2001-08-07,1.00,NA,NA,1.00,NA,NA,NA
2001-08-08,1.00,NA,NA,1.00,NA,NA,NA
2001-08-09,1.00,NA,NA,1.00,NA,NA,NA
2001-08-10,1.00,NA,NA,1.00,NA,NA,NA
2001-08-13,1.00,NA,NA,1.00,NA,NA,NA
2001-08-14,1.00,NA,NA,1.00,NA,NA,NA
2001-08-15,1.00,NA,NA,1.00,NA,NA,NA
2001-08-16,1.00,NA,NA,1.00,NA,NA,NA
2001-08-17,1.00,NA,NA,1.00,NA,NA,NA
2001-08-20,1.00,NA,NA,1.00,NA,NA,NA
2001-08-21,1.00,NA,NA,1.00,NA,NA,NA
2001-08-22,1.00,NA,NA,1.00,NA,NA,NA
2001-08-23,1.00,NA,NA,1.00,NA,NA,NA
2001-08-24,1.00,NA,NA,1.00,NA,NA,NA
2001-08-27,1.00,NA,NA,1.00,NA,NA,NA
2001-08-28,1.00,NA,NA,1.00,NA,NA,NA
2001-08-29,1.00,NA,NA,1.00,NA,NA,NA
2001-08-30,1.00,NA,NA,1.00,NA,NA,NA
2001-08-31,1.00,NA,NA,1.00,NA,NA,NA
2001-09-03,1.00,NA,NA,1.00,NA,NA,NA
2001-09-04,1.00,NA,NA,1.00,NA,NA,NA
2001-09-05,1.00,NA,NA,1.00,NA,NA,NA
2001-09-06,1.00,NA,NA,1.00,NA,NA,NA
2001-09-07,1.00,NA,NA,1.00,NA,NA,NA
2001-09-10,1.00,NA,NA,1.00,NA,NA,NA
2001-09-11,1.00,NA,NA,1.00,NA,NA,NA
2001-09-12,1.00,NA,NA,1.00,NA,NA,NA
2001-09-13,1.00,NA,NA,1.00,NA,NA,NA
2001-09-14,1.00,NA,NA,1.00,NA,NA,NA
2001-09-17,1.00,NA,NA,1.00,NA,NA,NA
2001-09-18,1.00,NA,NA,1.00,NA,NA,NA
2001-09-19,1.00,NA,NA,1.00,NA,NA,NA
2001-09-20,1.00,NA,NA,1.00,NA,NA,NA
2001-09-21,1.00,NA,NA,1.00,NA,NA,NA
2001-09-24,1.00,NA,NA,1.00,NA,NA,NA
2001-09-25,1.00,NA,NA,1.00,NA,NA,NA
2001-09-26,1.00,NA,NA,1.00,NA,NA,NA
2001-09-27,1.00,NA,NA,1.00,NA,NA,NA
2001-09-28,1.00,NA,NA,1.00,NA,NA,NA
2001-10-02,1.00,NA,NA,1.00,NA,NA,NA
2001-10-03,1.00,NA,NA,1.00,NA,NA,NA
2001-10-04,1.00,NA,NA,1.00,NA,NA,NA
2001-10-05,1.00,NA,NA,1.00,NA,NA,NA
2001-10-08,1.00,NA,NA,1.00,NA,NA,NA
2001-10-09,1.00,NA,NA,1.00,NA,NA,NA
2001-10-10,1.00,NA,NA,1.00,NA,NA,NA
2001-10-11,1.00,NA,NA,1.00,NA,NA,NA
2001-10-12,1.00,NA,NA,1.00,NA,NA,NA
2001-10-15,1.00,NA,NA,1.00,NA,NA,NA
2001-10-16,1.00,NA,NA,1.00,NA,NA,NA
2001-10-17,1.00,NA,NA,1.00,NA,NA,NA
2001-10-18,1.00,NA,NA,1.00,NA,NA,NA
2001-10-19,1.00,NA,NA,1.00,NA,NA,NA
2001-10-22,1.00,NA,NA,1.00,NA,NA,NA
2001-10-23,1.00,NA,NA,1.00,NA,NA,NA
2001-10-24,1.00,NA,NA,1.00,NA,NA,NA
2001-10-25,1.00,NA,NA,1.00,NA,NA,NA
2001-10-26,1.00,NA,NA,1.00,NA,NA,NA
2001-10-29,1.00,NA,NA,1.00,NA,NA,NA
2001-10-30,1.00,NA,NA,1.00,NA,NA,NA
2001-10-31,1.00,NA,NA,1.00,NA,NA,NA
2001-11-01,1.00,NA,NA,1.00,NA,NA,NA
2001-11-02,1.00,NA,NA,1.00,NA,NA,NA
2001-11-05,1.00,NA,NA,1.00,NA,NA,NA
2001-11-06,1.00,NA,NA,1.00,NA,NA,NA
2001-11-07,1.00,NA,NA,1.00,NA,NA,NA
2001-11-08,1.00,NA,NA,1.00,NA,NA,NA
2001-11-09,1.00,NA,NA,1.00,NA,NA,NA
2001-11-12,1.00,NA,NA,1.00,NA,NA,NA
